Gene	CellType
Mylpf	Ery
Garem	Ery
Btrc	Ery
Rgcc	Ery
Cenpe	Ery
Sox6	Ery
Spc25	Ery
Ppp2r1b	Ery
Kifc5b	Ery
Wbscr27	Ery
Fbxw2	Ery
Rgs6	Ery
2610020C07Rik	Ery
Cetn4	Ery
Dnajb1	Ery
Fbxo42	Ery
Prdx2	Ery
Gps2	Ery
Rad21	Ery
Ssbp3	Ery
Slc25a44	Ery
C330027C09Rik	Ery
Ube2o	Ery
Cpox	Ery
Kif2a	Ery
Aurkb	Ery
Fbxo30	Ery
Tspan8	Ery
Zfpm1	Ery
Nxpe2	Ery
Net1	Ery
Pla2g16	Ery
Rhno1	Ery
Sorbs1	Ery
Slc22a23	Ery
Plk4	Ery
Pqlc1	Ery
Abcb6	Ery
Klhl7	Ery
Kif11	Ery
C530008M17Rik	Ery
Runx1t1	Ery
Trim59	Ery
Tom1l1	Ery
C730036E19Rik	Ery
Btnl10	Ery
Hmgb2	Ery
Brca1	Ery
9130221H12Rik	Ery
Klhl25	Ery
Cenpf	Ery
Smap1	Ery
Dnaja4	Ery
Lrrc56	Ery
Btn1a1	Ery
Ncapg2	Ery
Rad23a	Ery
Bcas3os1	Ery
Stradb	Ery
Tmc8	Ery
A430005L14Rik	Ery
Trim56	Ery
Cdc42bpa	Ery
Cul4a	Ery
Agfg2	Ery
Herc1	Ery
Wdr81	Ery
H2-T24	Ery
Isg15	Ery
Gm166	Ery
Arhgap19	Ery
Mfsd2b	Ery
Fech	Ery
Hs6st1	Ery
Josd2	Ery
Mis18bp1	Ery
Slc43a1	Ery
Naprt1	Ery
Ahi1	Ery
Snx22	Ery
Dpf3	Ery
Ammecr1	Ery
Clcn3	Ery
Unkl	Ery
Naaladl1	Ery
Usp7	Ery
Nprl3	Ery
Plk1	Ery
Arhgap20	Ery
Slc16a10	Ery
Arel1	Ery
Shc4	Ery
Micall2	Ery
Add1	Ery
Phlpp2	Ery
Slc6a20a	Ery
Gpsm2	Ery
Itsn1	Ery
Mrpl53	Ery
Foxo4	Ery
Ctsf	Ery
Gsg2	Ery
BC021614	Ery
Cdkn2c	Ery
Rnf11	Ery
Lpin2	Ery
Ncaph	Ery
Cenpk	Ery
Asb1	Ery
Srxn1	Ery
Epb4	Ery
Fn3k	Ery
Calm3	Ery
Tlcd1	Ery
Tspo2	Ery
Mir451	Ery
Cachd1	Ery
Slc11a2	Ery
Gp9	Ery
Tnk1	Ery
Pkhd1l1	Ery
Pole3	Ery
Gm7367	Ery
Rrm2	Ery
Nudt4	Ery
Napa	Ery
Crip2	Ery
Kif20a	Ery
Hspbap1	Ery
Mxd3	Ery
Mkln1os	Ery
Hbb-b2	Ery
2810442I21Rik	Ery
Stk11	Ery
Arl6ip1	Ery
Art4	Ery
Rhd	Ery
Sertad2	Ery
Atg4a	Ery
Otub2	Ery
Ormdl3	Ery
Gypc	Ery
Map2k3	Ery
Ccna2	Ery
Zbtbd6	Ery
Gtse1	Ery
Fhdc1	Ery
Cnnm2	Ery
Hist3h2ba	Ery
4933413G19Rik	Ery
Hars	Ery
C230052I12Rik	Ery
Ccp110	Ery
Asf1b	Ery
Dbf4	Ery
Apol8	Ery
Oas1b	Ery
Carm1	Ery
Fam210b	Ery
Tuba1c	Ery
Bsg	Ery
Hmbs	Ery
Prr11	Ery
Med12	Ery
Comt	Ery
Hspb6	Ery
Ifrd2	Ery
Aug-02	Ery
Tinagl1	Ery
Capn5	Ery
Cep85	Ery
Spire1	Ery
Gid8	Ery
Gfap	Ery
Slc7a5	Ery
Slc20a1	Ery
Spta1	Ery
Ucp2	Ery
Sec61g	Ery
Slc30a10	Ery
5830415F09Rik	Ery
Mrm1	Ery
F830002L21Rik	Ery
Pabpc4	Ery
Snx32	Ery
Slc30a9	Ery
Redrum	Ery
1700001K23Rik	Ery
Carhsp1	Ery
Acap3	Ery
Thsd7b	Ery
Lin54	Ery
AW011738	Ery
Reep6	Ery
Cdca5	Ery
1110020A21Rik	Ery
